,0_drops,10p_adTime,10p_pfx_medianVis,1p_MOASlen,6months_percent,85p_beta_daybins,85p_beta_monthbins,85p_beta_weekbins,90p_adTime,90p_pfx_medianVis,95p_alpha_daybins,95p_alpha_monthbins,95p_alpha_weekbins,99p_MOASlen,ASN,Lifespan,MOAS_add%,MOAS_pfx_%,MOAS_size_add,MOAS_size_pfx,Uptime,bogons%_add,bogons%_pfx,highMaxVis_percent,highMedVis_percent,lowMaxVis_percent,lowMedVis_percent,median/unique_pfx,median_adTime,median_adTime_highMaxVis,median_adTime_highMedVis,median_adTime_lowMaxVis,median_adTime_lowMedVis,median_pfx_medianVis,q1_adTime,q1_adTime_highMaxVis,q1_adTime_highMedVis,q1_adTime_lowMaxVis,q1_adTime_lowMedVis,q1_pfx_medianVis,q3_adTime,q3_adTime_highMaxVis,q3_adTime_highMedVis,q3_adTime_lowMaxVis,q3_adTime_lowMedVis,q3_pfx_medianVis,range_MOASlen,rir_count,rir_gini_add,rir_gini_pfx,size_add,size_pfx,std_MOASlen,top_rir_add,top_rir_pfx,unassigned%_add,unassigned%_pfx,var_MOASlen,HardVotePred,SoftVotePred,Top1000,Top500,Top100,PrivateASN,DDoS,SH,allSH,UCEspam
16,71,0.0,0.042857142857099996,1.15740740741e-05,0.0588235294118,2.0,6.0,2.0,132.09375,0.09410976016410001,1.0,1.0,1.0,189.47916666700002,64670,1825.99652778,1.0,1.0,10389.0,1272,0.8458,0.0,0.0,0.0,0.0,0.8823529411759999,0.941176470588,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.06071428571430001,0.0,0.0,0.0,0.0,0.0,0.055357142857200003,0.0,0.0,0.0,0.0,0.0,0.06071428571430001,1481.12846065,2,0.6418604651162789,0.7529411764705882,43.0,17,51.36563987372558,0.6046511627910001,0.8823529411759999,0.0,0.0,2638.4289596372673,1,1,0,0,0,1,0,0,0,0
56,4,48.8506944444,0.6847679635100001,1.15740740741e-05,0.432835820896,0.166666666667,0.181818181818,0.166666666667,303.07986111099996,0.8932736906550001,0.0,1.0,0.5714285714289999,189.47916666700002,40960,885.013888889,0.586206896552,0.23880597014899999,10389.0,1272,0.8181,0.0,0.0,1.0,0.8955223880600001,0.0,0.0,0.11940298507500001,124.958333333,124.958333333,124.958333333,0.0,0.0,0.855685285548,48.8541666667,48.8541666667,48.8541666667,0.0,0.0,0.765153618463,303.07638888900004,303.07638888900004,303.07638888900004,0.0,0.0,0.89174161369,0.00346064814815,2,0.6517241379310345,0.6447761194029851,232.0,67,51.36563987372558,0.629310344828,0.6119402985069999,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,0
114,60,117.135416667,0.8678172198799999,1.15740740741e-05,0.470588235294,0.5,3.66666666667,1.0,613.725694444,0.907853378279,0.666666666667,1.5,1.0,189.47916666700002,60010,1012.21180556,0.13636363636399998,0.176470588235,10389.0,1272,0.9963,0.0,0.0,1.0,1.0,0.0,0.0,0.235294117647,176.940972222,176.940972222,176.940972222,0.0,0.0,0.880851879366,130.012152778,130.012152778,130.012152778,0.0,0.0,0.8775107267290001,390.725694444,390.725694444,390.725694444,0.0,0.0,0.889123197671,0.006932870370369999,2,0.6181818181818182,0.6352941176470589,22.0,17,51.36563987372558,0.545454545455,0.588235294118,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,1
119,50,40.1388888889,0.888370582263,1.15740740741e-05,0.598326359833,0.33333333333299997,2.0,0.4,667.868055556,0.9235460461139999,0.0550458715596,2.0,1.0,189.47916666700002,393559,1539.22916667,0.18085106383000002,0.18410041841,10389.0,1272,0.8235,0.0,0.0,0.987447698745,0.958158995816,0.00418410041841,0.0167364016736,0.0251046025105,244.04513888900001,247.996527778,254.152777778,0.0902777777778,0.161458333333,0.897107516462,79.6909722222,88.4444444444,90.0381944444,0.0902777777778,0.0503472222222,0.892213482502,465.913194444,465.946180556,467.928819444,0.0902777777778,89.2673611111,0.915462416494,149.53123842600002,2,0.7730496453900709,0.7815899581589959,282.0,239,51.36563987372558,0.932624113475,0.953974895397,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,1
122,180,0.020833333333299998,0.41955835962099997,1.15740740741e-05,0.038834951456300004,0.25,4.44444444444,1.33333333333,125.80902777799999,0.47872670135,1.0,1.09090909091,1.2,189.47916666700002,55830,842.454861111,0.0171443878918,0.0194174757282,10389.0,1272,0.4368,0.0,0.0,0.223300970874,0.09708737864080001,0.00970873786408,0.00970873786408,0.0,6.5,37.09375,10.1076388889,0.0,0.0,0.457723678434,0.447916666667,10.1076388889,10.1076388889,0.0,0.0,0.444882356053,36.1423611111,82.1076388889,10.1076388889,0.0,0.0,0.466886998202,0.0,2,0.7894418476766566,0.7881188118811882,7466.0,103,51.36563987372558,0.973604619192,0.970297029703,0.0257165818377,0.0194174757282,2638.4289596372673,1,1,0,0,0,0,0,0,0,0
143,7,4.06944444444,0.014277743224899999,1.15740740741e-05,0.0,1.0,3.0,1.0,124.673611111,0.8016452222470001,1.0,2.0,1.0,189.47916666700002,137186,221.07986111099999,0.04,0.05,10389.0,1272,0.8633,0.0,0.0,0.7,0.5,0.2,0.3,0.1,37.5954861111,73.4513888889,73.4513888889,4.42013888889,4.42013888889,0.6812024461220001,4.42013888889,9.618055555560002,65.72569444439999,4.42013888889,4.42013888889,0.05975645538819999,73.4513888889,102.232638889,102.493055556,4.42013888889,4.42013888889,0.7971223193520001,0.0,2,0.624,0.6,25.0,20,51.36563987372558,0.56,0.5,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,0
144,13,0.20833333333299997,0.517274353857,0.0,0.1,1.0,5.0,1.0,433.88888888900004,0.896630920671,0.0,1.0,1.0,0.0,136850,437.288194444,0.0,0.0,0.0,0,0.9946,0.0,0.0,0.5,0.5,0.0,0.0,0.1,39.574652777800004,78.9409722222,78.9409722222,0.0,0.0,0.676677845107,0.20833333333299997,78.9409722222,78.9409722222,0.0,0.0,0.517274353857,78.9409722222,256.414930556,256.414930556,0.0,0.0,0.832916498615,0.0,2,0.6,0.6,16.0,10,0.0,0.5,0.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
156,24,32.715277777800004,0.7981578884999999,0.0,0.625,1.0,3.0,1.0,450.55208333300004,0.822058142215,0.0,1.0,1.0,0.0,63023,1795.69791667,0.0,0.0,0.0,0,0.926,0.0,0.0,1.0,1.0,0.0,0.0,0.0625,235.05208333299998,235.05208333299998,235.05208333299998,0.0,0.0,0.803264444163,103.701388889,103.701388889,103.701388889,0.0,0.0,0.7991954784309999,299.675347222,299.675347222,299.675347222,0.0,0.0,0.8056755840270001,0.0,2,0.7636363636363636,0.7499999999999999,22.0,16,0.0,0.909090909091,0.875,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1
181,12,56.8090277778,0.8018128332950001,1.15740740741e-05,0.777777777778,0.25,0.846153846154,0.428571428571,796.1805555560001,0.8759948913500001,0.0,1.0,0.166666666667,189.47916666700002,134094,1385.50347222,0.5,0.5,10389.0,1272,0.7016,0.0,0.0,1.0,0.944444444444,0.0,0.0,0.388888888889,370.140625,370.140625,377.15625,0.0,0.0,0.8198210027609999,334.885416667,334.885416667,334.930555556,0.0,0.0,0.810690441612,466.038194444,466.038194444,468.647569444,0.0,0.0,0.874306401953,3.5,2,0.6666666666666666,0.6666666666666666,18.0,18,51.36563987372558,0.666666666667,0.666666666667,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,0
186,7,0.0,0.023044627711,1.15740740741e-05,0.0,0.0,0.0,0.0,0.0694444444444,0.0291262135922,0.0,0.0,0.0,289.920173611,64902,1274.64930556,0.599891422367,0.444444444444,14186.25,1221,0.0021,0.0,0.0,0.0,0.0,0.972222222222,0.972222222222,0.0,0.0451388888889,0.0,0.0,0.0451388888889,0.0451388888889,0.0242308673314,0.0,0.0,0.0,0.0,0.0,0.0238907849829,0.0694444444444,0.0,0.0,0.0694444444444,0.0694444444444,0.0291262135922,1.6423495370399999,3,0.6093376764386537,0.5888888888888889,1842.0,36,59.28692504175641,0.561346362649,0.583333333333,0.0,0.0,3514.939480906843,1,1,0,0,0,1,0,0,0,0
